"Дата операции";"Дата платежа";"Номер карты";"Статус";"Сумма операции";"Валюта операции";"Сумма платежа";"Валюта платежа";"Кэшбэк";"Категория";"MCC";"Описание";"Бонусы (включая кэшбэк)";"Округление на инвесткопилку";"Сумма операции с округлением"
"19.06.2025 17:20:25";"19.06.2025";"*2572";"OK";"-245,00";"RUB";"-245,00";"RUB";"2";"Различные товары";"5331";"Fix Price";"2,00";"0,00";"245,00"
"19.06.2025 15:08:05";"19.06.2025";"*2572";"OK";"-500,00";"RUB";"-500,00";"RUB";"5";"Фастфуд";"5814";"Vafli.Ok";"5,00";"0,00";"500,00"
"19.06.2025 12:09:03";"19.06.2025";"";"OK";"-179,98";"RUB";"-179,98";"RUB";"";"Супермаркеты";"5921";"Красное и белое";"0,00";"0,00";"179,98"
"19.06.2025 11:41:35";"19.06.2025";"";"OK";"-265,87";"RUB";"-265,87";"RUB";"";"Супермаркеты";"5411";"Магазин";"0,00";"0,00";"265,87"
"19.06.2025 00:00:00";"19.06.2025";"*2572";"OK";"20,70";"RUB";"20,70";"RUB";"";"Бонусы";"";"Кэшбэк по «Привет, Мир!»";"0,00";"0,00";"20,70"
"18.06.2025 20:58:37";"18.06.2025";"";"OK";"-498,84";"RUB";"-498,84";"RUB";"";"Супермаркеты";"5411";"Магазин";"0,00";"0,00";"498,84"
"18.06.2025 07:06:13";"18.06.2025";"*2572";"OK";"-137,98";"RUB";"-137,98";"RUB";"1";"Супермаркеты";"5411";"Пятёрочка";"1,00";"0,00";"137,98"
"17.06.2025 19:39:07";"17.06.2025";"*2572";"OK";"-814,52";"RUB";"-814,52";"RUB";"8";"Супермаркеты";"5411";"Пятёрочка";"8,00";"0,00";"814,52"
"17.06.2025 19:31:31";"18.06.2025";"*2572";"OK";"-35,00";"RUB";"-35,00";"RUB";"";"Супермаркеты";"5499";"IP Aksinichenko Nv";"0,00";"0,00";"35,00"
"17.06.2025 17:07:55";"17.06.2025";"*1581";"OK";"500,00";"RUB";"500,00";"RUB";"";"Переводы";"";"Метакся Г.";"0,00";"0,00";"500,00"
"17.06.2025 11:48:16";"17.06.2025";"*2572";"OK";"-149,00";"RUB";"-149,00";"RUB";"7";"Аптеки";"5912";"Аптека Вита";"7,00";"0,00";"149,00"
"17.06.2025 11:37:32";"17.06.2025";"";"OK";"-120,00";"RUB";"-120,00";"RUB";"";"Переводы";"";"Элдар А.";"0,00";"0,00";"120,00"
"16.06.2025 21:57:54";"17.06.2025";"*2572";"OK";"-334,97";"RUB";"-334,97";"RUB";"3";"Супермаркеты";"5499";"Бристоль";"3,00";"0,00";"334,97"
"16.06.2025 18:36:36";"16.06.2025";"";"OK";"-369,00";"RUB";"-369,00";"RUB";"";"Переводы";"";"Аноним";"0,00";"0,00";"369,00"
"16.06.2025 18:09:10";"16.06.2025";"";"OK";"-500,00";"RUB";"-500,00";"RUB";"";"Переводы";"";"Метакся Г.";"0,00";"0,00";"500,00"
"16.06.2025 18:04:27";"17.06.2025";"*2572";"OK";"-414,00";"RUB";"-414,00";"RUB";"4";"Местный транспорт";"4111";"Экспресс-пригород";"4,00";"0,00";"414,00"
